catalog,vendor,product,api_family,api_group,id,status,method,path,summary,migration_phase,migration_use,official_doc_url
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security level,issue-security-level-get-rest-api-3-issuesecurityschemes-issuesecurityschemeid-members,reviewed,GET,/rest/api/3/issuesecurityschemes/{issueSecuritySchemeId}/members,Get issue security level members by issue security scheme,extract,Issue security level extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-level/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-delete-rest-api-3-issuesecurityschemes-schemeid,reviewed,DELETE,/rest/api/3/issuesecurityschemes/{schemeId},Delete issue security scheme,reconcile,Issue security schemes reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-put-rest-api-3-issuesecurityschemes-schemeid-level,reviewed,PUT,/rest/api/3/issuesecurityschemes/{schemeId}/level,Add issue security levels,load,Issue security schemes creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-delete-rest-api-3-issuesecurityschemes-schemeid-level-levelid,reviewed,DELETE,/rest/api/3/issuesecurityschemes/{schemeId}/level/{levelId},Remove issue security level,reconcile,Issue security schemes reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-put-rest-api-3-issuesecurityschemes-schemeid-level-levelid,reviewed,PUT,/rest/api/3/issuesecurityschemes/{schemeId}/level/{levelId},Update issue security level,load,Issue security schemes creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-put-rest-api-3-issuesecurityschemes-schemeid-level-levelid-member,reviewed,PUT,/rest/api/3/issuesecurityschemes/{schemeId}/level/{levelId}/member,Add issue security level members,load,Issue security schemes creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-delete-rest-api-3-issuesecurityschemes-schemeid-level-levelid-member-memberid,reviewed,DELETE,/rest/api/3/issuesecurityschemes/{schemeId}/level/{levelId}/member/{memberId},Remove member from issue security level,reconcile,Issue security schemes reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue types,issue-types-get-rest-api-3-issuetype,reviewed,GET,/rest/api/3/issuetype,Get all issue types for user,extract,Issue types extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue types,issue-types-post-rest-api-3-issuetype,reviewed,POST,/rest/api/3/issuetype,Create issue type,load,Issue types creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue types,issue-types-get-rest-api-3-issuetype-project,reviewed,GET,/rest/api/3/issuetype/project,Get issue types for project,extract,Issue types extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-types/
